Sample no#,Specimen no#,Flea species,flea subspecies/morphotype,total fleas,Females,Males,Slide,cox1,Fig5 (multigene),Fig6 (clades),Fig7 (haplotype),cox1 haplotype,Note,Clade 1,Cluster,ID,cox1,cox2,Histone H3,EF-1a,Continent,Country,State/Province/Island,Town/Region,Latitude,Longitude,Host scientific name,Host,Collection date,Collector,Notes
AL020,AL020-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,ALFLE001-14,KF684882.1,KF684914.1,,,Oceania,Australia,New South Wales,East Kurrajong,-33.5206,150.7191,Felis catus,outdoor domestic cat,30-September-2012,Andrea Lawrence,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL023,AL023-1,Ctenocephalides felis,felis,1,1,0,1,1,1,1,1,h2,included,Clade 3,Tropical I,ALFLE002-14,KF684877.1,KF684928.1,MG586761,MG586734,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL027,AL027-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,ALFLE003-14,KF684878.1,KF684929.1,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL039,AL039-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,ALFLE004-14,KF684879.1,KF684930.1,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL041,AL041-1,Ctenocephalides felis,felis,1,1,0,1,1,1,1,1,h3,included,Clade 6,Tropical II,ALFLE005-14,KF684880.1,KF684931.1,MG586765,MG586735,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL042,AL042-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,ALFLE006-14,KF684881.1,KF684932.1,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL056,AL056-1,Ctenocephalides felis,felis,1,1,0,1,1,1,1,1,h2,included,Clade 3,Tropical I,ALFLE007-14,KF684866.1,KF684922.1,MG586760,MG586736,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL058,AL058-1,Ctenocephalides orientis,,1,1,0,1,1,1,1,1,h4,included,,,ALFLE008-14,KF684867.1,KF684923.1,MG586775,MG586737,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL063,AL063-1,Ctenocephalides orientis,,1,1,0,1,1,0,1,1,h4,included,,,ALFLE009-14,KF684868.1,KF684924.1,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL067,AL067-1,Ctenocephalides orientis,,1,1,0,1,1,0,1,1,h4,included,,,ALFLE010-14,KF684870.1,KF684926.1,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL069,AL069-1,Ctenocephalides orientis,,1,1,0,1,1,0,1,1,h4,included,,,ALFLE011-14,KF684869.1,KF684925.1,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL073,AL073-1,Ctenocephalides orientis,,1,1,0,1,1,1,1,1,h5,included,,,ALFLE012-14,KF684871.1,KF684927.1,MG586776,MG586738,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL078,AL078-1,Ctenocephalides felis,felis,1,1,0,1,1,1,1,1,h1,included,Clade 1,Temperate,ALFLE013-14,KF684883.1,KF684915.1,MG586759,MG586739,Oceania,Australia,New South Wales,Glenorie,-33.5950,150.9710,Felis catus,owned cat,25-March-2013,Christie Foster,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL079,AL079-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,ALFLE014-14,KF684884.1,KF684916.1,,,Oceania,Australia,New South Wales,Sydney,-33.8945,151.1637,Canis lupus familiaris,owned dog,08-April-2013,Anne Fawcett,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL083,AL083-1,Ctenocephalides felis,"""transitional""",1,1,0,1,1,1,1,1,h6,included,Clade 4,Tropical I,ALFLE015-14,KF684872.1,KF684933.1,MG586762,MG586740,Africa,Seychelles,Mah�,Victoria,-4.6191,55.4513,Canis lupus familiaris,dog,01-April-2013,Martha Morin,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL083,AL083-4,Ctenocephalides felis,"""transitional""",1,1,0,1,1,1,1,1,h7,included,Clade 4,Tropical I,ALFLE016-14,KF684875.1,KF684936.1,MG586763,MG586741,Africa,Seychelles,Mah�,Victoria,-4.6191,55.4513,Canis lupus familiaris,dog,01-April-2013,Martha Morin,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL083,AL083-2,Ctenocephalides felis,"""transitional""",1,1,0,1,1,0,1,1,h6,included,Clade 4,Tropical I,ALFLE017-14,KF684873.1,KF684934.1,,,Africa,Seychelles,Mah�,Victoria,-4.6191,55.4513,Canis lupus familiaris,dog,01-April-2013,Martha Morin,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL083,AL083-3,Ctenocephalides felis,"""transitional""",1,1,0,1,1,0,1,1,h6,included,Clade 4,Tropical I,ALFLE018-14,KF684874.1,KF684935.1,,,Africa,Seychelles,Mah�,Victoria,-4.6191,55.4513,Canis lupus familiaris,dog,01-April-2013,Martha Morin,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL083,AL083-5,Ctenocephalides felis,"""transitional""",1,1,0,1,1,0,1,1,h8,included,Clade 4,Tropical I,ALFLE019-14,KF684876.1,KF684937.1,,,Africa,Seychelles,Mah�,Victoria,-4.6191,55.4513,Canis lupus familiaris,dog,01-April-2013,Martha Morin,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL086,AL086-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,ALFLE020-14,KF684897.1,KF684919.1,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL087,AL087-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,ALFLE021-14,KF684898.1,KF684920.1,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL088,AL088-1,Ctenocephalides felis,felis,1,1,0,1,1,1,1,1,h3,included,Clade 6,Tropical II,ALFLE022-14,KF684899.1,KF684921.1,MG586764,MG586742,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL103,AL103-1,Ctenocephalides felis,felis,1,0,1,1,1,1,1,1,h1,included,Clade 1,Temperate,ALFLE023-14,KF684885.1,KF684917.1,MG586758,MG586744,Oceania,Australia,New South Wales,Stanmore,-33.8942,151.1644,Vulpes vulpes,rescued red fox,01-June-2013,Anne Fawcett,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL105,AL105-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,ALFLE024-14,KF684886.1,KF684918.1,,,Oceania,Australia,New South Wales,Camperdown,-33.8901,151.1799,Felis catus,owned cat,10-June-2013,Anne Fawcett,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL013,AL013-3,Echidnophaga ambulans,ambulans,1,1,0,1,1,1,outgroup,N/A,N/A,,,,CTENO001-18,KR363632.1,MG586673,MG586782,MG586733,Oceania,Australia,New South Wales,Lightning Ridge,-29.3098,148.2723,Tachyglossus aculeatus,echidna,2013,Andrea Lawrence,"Lawrence, A.L., Hii, S.F., Chong, R., Webb, C.E., Traub, R., Brown, G., Slapeta, J., 2015. Evaluation of the bacterial microbiome of two flea species using different DNA-isolation techniques provides insights into flea host ecology. FEMS Microbiol. Ecol. 91."
